,Label,left_elbow_angle,right_elbow_angle,left_shoulder_angle,right_shoulder_angle,left_knee_angle,right_knee_angle
0,istockphoto-877297474-612x612.jpg,322.732615711637,37.82148620678188,30.740303109184534,27.845501648592915,190.72530195331504,35.02487327954136
0,istockphoto-1254852614-612x612.jpg,323.02310200842885,56.150925168505154,38.586970504563496,17.112806495905286,185.72985810925246,42.55159193528359
0,istockphoto-1095832790-612x612.jpg,166.66721642943614,201.73586203616048,184.2980172615073,185.3220439051097,306.8330040388934,174.34329243798632
0,istockphoto-800405792-612x612.jpg,301.60349610868633,22.988716802080642,7.340744774838695,55.25080342211493,221.9335144988741,170.73309872815483
0,istockphoto-1495398563-612x612.jpg,159.86369657175186,219.44506307986452,191.30993247402023,168.6546997653404,186.69199083269146,30.95186532930138
0,girl1_tree086.jpg,323.8451789629778,30.689817783220377,42.11703654746046,33.30914018326464,178.75656592388964,20.366122268290997
0,istockphoto-1356221000-612x612.jpg,314.38366008596677,42.93027693622011,40.71432540475266,31.688910768634972,241.97549946792978,33.138500646683575
0,girl1_tree087.jpg,326.6637205712488,26.2108574641732,42.75318401709936,31.08157272715922,179.05521708186745,21.95762771102377
0,istockphoto-627917514-612x612.jpg,178.66778014613035,208.18314570981545,179.26458959735953,174.80557109226518,168.49846423106092,31.07401126355212
0,girl1_tree088.jpg,325.75227667087626,24.77514056883192,39.73105734763392,31.263731694377423,178.92130911223606,21.508281333995367
0,istockphoto-1204500612-612x612.jpg,302.6763075703698,50.316977498809614,37.49426907370903,37.87804301565706,194.042629533383,35.04192940153902
0,istockphoto-514717606-612x612.jpg,160.89659480622032,227.0729322046735,186.74212499016863,171.86366510159436,321.4550255784804,181.9805428126176
0,istockphoto-1455669213-612x612.jpg,303.8832606553689,45.936122241356685,36.15623525902689,34.597058413190176,180.67480866671116,35.43551350477376
0,istockphoto-1094418632-612x612.jpg,225.0,137.17904980179762,172.91063752298217,184.6507252078834,178.1808880054743,298.40620357092627
0,istockphoto-893419918-612x612.jpg,324.64198501401626,42.96534774687379,46.46317557651277,23.98233693786583,177.67508966940832,25.33780303838024
0,istockphoto-1050888668-612x612.jpg,112.806495491606,249.57672452522752,171.20540001928913,164.62846928811564,180.54565759341574,26.185812747188212
0,istockphoto-1396463307-612x612.jpg,283.20516852092993,14.036243467926477,5.2328832273271235,35.07598537679196,180.8130119235392,54.88705624840196
0,istockphoto-664637316-612x612.jpg,313.38707472254157,41.44606915236666,18.212166780351815,13.452652638498789,178.55979336413552,26.250109260823113
0,istockphoto-1094418370-612x612.jpg,297.69497332461077,45.15900730551507,20.268916154136818,26.072156162114023,186.03501033752642,47.76430349433235
0,istockphoto-1177568976-612x612.jpg,187.49585763972988,175.05403345289582,170.93349726018383,165.19912994167802,103.42738456464963,184.66252416144692
0,istockphoto-539258937-612x612.jpg,134.97793770632217,220.52917916450482,170.73229767091192,178.3573423559623,317.4786990504693,177.346626996695
0,istockphoto-532386442-612x612.jpg,212.35481102582784,152.3072247970633,180.86566705641732,167.68254397293984,26.542774436554662,188.19160248419075
0,istockphoto-1340727582-640x640.jpg,117.32691823295605,241.87321323579522,175.5746533325294,163.35147494382926,179.41750302003857,27.35938247250168
0,istockphoto-683158620-612x612.jpg,226.78394146885458,129.37819305311288,186.55714680154054,186.53480981370257,184.26868182495994,303.32534897012266
0,istockphoto-1375879438-612x612.jpg,269.7567810506239,23.548781070205457,352.6395845159922,55.02333339644143,187.87923912870482,58.06931789628218
0,istockphoto-1366600641-612x612.jpg,282.4211511609597,32.64844084996981,10.154537890158078,28.44023400086381,183.16741346247554,30.29461071297458
0,istockphoto-1403294529-612x612.jpg,306.5998389256209,50.624817336551665,40.95603416099911,26.440033309776002,181.16239351423326,35.52698628631138
0,Screenshot 2024-02-21 120831.png,319.9341643405601,37.47663813670783,20.100295349825448,26.54721869103285,328.75303654561776,175.24596095379505
0,istockphoto-168627573-612x612.jpg,77.47119229084849,287.9684103500699,336.7132252024585,334.40187439456633,36.591088267399286,181.47510180085695
0,istockphoto-1340462826-612x612.jpg,113.66087623188875,247.80836361257127,166.38659593674402,172.9075577325195,330.42254357857115,178.29810215052302
0,istockphoto-608584986-612x612.jpg,166.47235101936613,196.89471639943304,196.18451680053772,186.91122711902466,183.57863420960106,30.31030957902752
0,istockphoto-503159210-612x612.jpg,262.94215335011893,121.35276166685594,192.89374404488217,202.61986494804043,177.97430562187733,301.9592389661033
0,istockphoto-1050888684-612x612.jpg,324.4261658521731,29.8404538179981,24.93751112095655,19.07869453709739,182.36137465817563,29.875992691689433
0,istockphoto-176792408-612x612.jpg,155.55604521958347,206.00310839235965,183.05385015684843,170.51251385160407,186.1155035662854,29.78103177028463
0,istockphoto-1808608921-612x612.jpg,211.85513238244928,134.68475817684953,177.42100565358078,197.90351662221096,179.73678558125837,312.897681188536
0,istockphoto-506106727-612x612.jpg,315.8313193544929,41.59557791621742,42.847037210899536,26.116961621914783,186.1937401218393,51.68173096161665
0,pexels-monstera-production-6311330.jpg,111.25098420342118,246.01150879017695,167.87945660373063,160.69202901384054,178.63961782005867,50.86254475465421
0,istockphoto-1323684419-640x640.jpg,274.9320874282649,27.919766428108616,18.473740813956805,33.56150578322062,183.45886580104582,42.203291496724155
0,young-woman-doing-yoga-exercise-260nw-125239121.webp,126.72922081292307,234.37357024170353,169.44325524428177,176.1539699099526,331.845573616867,172.913775642133
0,istockphoto-1023563042-612x612.jpg,307.6332307418301,61.36107745534631,22.633796205321804,28.6963235401564,305.5289333486048,173.56201274116546
0,istockphoto-621357554-612x612.jpg,188.0177853610242,166.6306614121312,269.25894797600495,270.0,29.668077348959674,174.69732008568704
0,istockphoto-1215515999-612x612.jpg,123.49518467374116,234.62546822064834,171.90224464269704,171.32778457246704,188.5850854225612,30.772676134274498
0,istockphoto-1349432436-612x612.jpg,153.24121911484,211.7052740654951,187.82079693542664,164.73398234719485,189.62318225219775,23.211798392508996
